,sobject_id,Li_fe,C_fe,O_fe,Na_fe,Mg_fe,Al_fe,Si_fe,K_fe,Ca_fe,Sc_fe,Ti_fe,Ti2_fe,V_fe,Cr_fe,Mn_fe,Co_fe,Ni_fe,Cu_fe,Zn_fe,Y_fe,Zr_fe,Ba_fe,La_fe,Ce_fe,Nd_fe,Sm_fe,Eu_fe,e_Li_fe,e_C_fe,e_O_fe,e_Na_fe,e_Mg_fe,e_Al_fe,e_Si_fe,e_K_fe,e_Ca_fe,e_Sc_fe,e_Ti_fe,e_Ti2_fe,e_V_fe,e_Cr_fe,e_Mn_fe,e_Co_fe,e_Ni_fe,e_Cu_fe,e_Zn_fe,e_Y_fe,e_Zr_fe,e_Ba_fe,e_La_fe,e_Ce_fe,e_Nd_fe,e_Sm_fe,e_Eu_fe,z_Rzphi,R_Rzphi
1588,131216001602221,0.4345681190490722,-0.0477005958557121,0.01964376449585,0.2015756988525394,-0.1111498832702633,0.0655754470825193,-0.0268723678588864,0.0329958724975583,0.1504405212402346,-0.0470415687561036,-0.0316834748579884,-0.0142561149597169,-0.116006603240967,-0.0589283752441405,-0.0282393264770508,-0.1327095603942867,-0.1028551450881659,-0.2641440010070797,-0.1556568778795585,0.2450551554811167,0.4044713401794433,0.7559676933288575,0.3464230825872744,-0.1260701560974122,0.3157810926437379,-0.0800427055358887,0.1199180412292481,0.0941393566358731,0.1361850631317192,0.1433890719916234,0.060443453357883,0.0861818264893566,0.0768366140491502,0.0651184991164298,0.0967045619638823,0.0826516722920275,0.0620929084355456,0.0741792414906285,0.169303685426712,0.1788213582833457,0.0867460644232134,0.0896944825718408,0.1661044795930185,0.0839465146592032,0.0795790671995087,0.1278459244695902,0.1498734012345329,0.1853772848844528,0.1006451747191731,0.1079336938634302,0.1591032743453979,0.0999522119212891,0.2169387340545654,0.1051767078738596,-0.1009144084565238,10.73446451623616
2931,140112002301344,0.40982027053833,0.4636605262756355,-0.6282305908203121,0.0085043334960941,0.1086687088012698,0.1269129180908201,-0.0537421417236325,-1.867073841094971,0.3804505538940432,0.3041051292419432,0.3327533504772743,0.0812626044967934,0.3725888824462888,0.1807604980468751,-0.1175337600708008,0.4887173843383792,0.4409745147640224,0.3569674217925759,-0.365945570749533,-0.115567033116687,0.3589456403924565,-0.1252855491638183,0.4928499412536622,-0.1135490083694459,0.4379724311828614,0.1569414997100831,0.2598874497413636,0.1291006654500961,0.1584287906413676,0.1763557776316655,0.0837915515999824,0.129027115180037,0.0963952820358648,0.0861649481368015,0.1270021286080334,0.1035311291926603,0.0820269479611339,0.0831628941052911,0.0933342791324223,0.1764325600598306,0.1160219918662162,0.130455206364455,0.127647279915991,0.1034153004997135,0.0774001569153126,0.1577850834991791,0.2037784778364041,0.1211347511877741,0.1335951637783212,0.2071140706539154,0.1675951433092416,0.1777704016581032,0.1508410593929579,0.1219459857983372,-0.6368955956086412,8.65048141870308
3215,140114003701272,0.4610276937484741,0.6747935295104988,0.0544214057922367,0.0130381011962894,0.0734275817871097,-0.0131475067138673,-0.0632226181030271,0.0727712440490719,0.0192859840393069,0.0191348457336424,0.0753091922880626,0.0852074225893772,0.0680525398254392,0.1174141120910645,0.1683291625976561,-0.2883964157104488,-0.2251145393529784,-0.2153809438552399,0.0078075285020845,-0.1225238175477235,0.4104699516296386,0.3231855201721192,0.47241304397583,-0.0981704139709473,0.4629386711120606,0.1812216901779175,0.4884894418716431,0.109027672550903,0.1557617163105739,0.1721714132633159,0.0806096747984561,0.1229496867040101,0.0939135012929925,0.0833527426361378,0.1229956821691838,0.1008633498940554,0.0794213874148361,0.0766110270464873,0.090452599087561,0.1733910143146231,0.1121630074258504,0.1248236260072914,0.194694174639378,0.1105968160192431,0.0755425530250201,0.1519271848802026,0.1965843708813275,0.1698711003015541,0.1292416730547937,0.2062491897704016,0.1653053000415923,0.1750900959076431,0.1493864564041588,0.119958520047538,-0.3614175238855276,8.337680488638927
3621,140115003101386,0.4077444791793823,0.414277362823487,0.3088388252258305,0.0714344406127933,0.2733549118041996,0.0820139312744139,0.0110838699340822,-0.0121877861022952,-0.2003657150268551,0.2068494224548338,0.3001011785746166,0.0793642125073987,0.218297252655029,0.137897129058838,0.1789082717895507,0.6644296073913578,0.0048810428281707,0.1973922575372532,0.1691544971666262,0.2245965459646557,0.2487077140808105,-0.0629247856140136,0.3701420021057129,-0.2647960329055787,0.4661878395080567,-0.0423196887969969,0.3249756026268006,0.099125749890041,0.1427956451205549,0.1527240719629952,0.0666438154278603,0.0971340563507856,0.0823763777603341,0.0708105414167369,0.1049766525198761,0.088529827813094,0.0675928074461601,0.0692417005837397,0.0771677879569882,0.1585967454194478,0.0947624122299266,0.1003802324745544,0.1756902946051713,0.0895830016347259,0.0667233100731264,0.1256777585341648,0.1641981895727363,0.1579572917254854,0.1096483902215305,0.1321211880889684,0.1539703803225706,0.1618740643428618,0.1420924788412246,0.1102081362193068,-0.3907835102546625,8.242986255478371
3697,140116003201192,-0.0830119132995605,0.2148163795471198,0.4447145271301274,-0.0199413871765132,0.0394934654235843,0.1216538810729979,0.0742767143249514,-0.0495236587524416,0.0777018737792971,-0.0182758903503419,-0.0208231762725024,0.0064710546638468,-0.0159280204772951,0.1116496276855469,-0.0021305847167969,0.1474407345722586,-0.0033116100816082,0.0390694208352681,0.080144176464198,-0.110150260069112,0.430057849884033,0.0259290504455567,0.1178713035583496,0.0280293083190916,0.3312085914611817,0.0389748477935791,0.067574315071106,0.1613339334726333,0.1455726705471816,0.1567632356810663,0.0694301510668342,0.1021643076446597,0.0847730036625511,0.0733414565480809,0.1086343684464823,0.091082118124278,0.0700097358696424,0.0652045826989992,0.0799090343914061,0.1617664380708712,0.0983010048144989,0.1052180357006005,0.0972527648683095,0.0919904105512977,0.0685793895460133,0.1309908434143058,0.1707713634548909,0.1596257310464956,0.1136275866573136,0.1946992129087448,0.1564276096766594,0.1647316276719172,0.1436873218898962,0.1123092390680395,-0.3186502846351752,8.338718233942062
5688,140209002202392,0.2735416412353515,0.6033981323242195,0.1253180313110355,0.244851055145264,0.081621074676514,0.197910633087158,0.1673524665832522,0.3590399551391598,0.0287121009826663,0.2596290969848631,-0.0917974344464892,-0.161621208190918,0.1784980392456052,0.0853615951538087,-0.1967798042297364,0.2428311944888388,0.2077947853564764,0.2146410698695272,-0.2309642772488254,-0.2796126079254817,0.5646299743652343,-0.0433015060424804,1.0509514617919922,0.0599186277389525,0.9771324157714844,0.3549760246276856,0.3539450693130493,0.1119825809571033,0.1595927362484375,0.1782013696728925,0.0852142429265381,0.1317659653653547,0.0974898560422981,0.087417549442602,0.128783091733217,0.1047092769275203,0.0831826063578687,0.1313262618359268,0.1622683326164355,0.1777597677694353,0.117736350919893,0.1329799797604552,0.1083066140028956,0.1044709433694974,0.0782148431274321,0.1603910108104466,0.2069745599174577,0.1733256523911219,0.1355300803813191,0.2107883744345007,0.1685902422535178,0.1109867787323748,0.1514712835326126,0.1228114937293222,-0.2940089142502819,8.286512804510588
6138,140305001801365,0.675967526435852,1.022933769226075,0.9186482238769536,0.0880765342712406,0.2705649375915531,0.5384510421752928,0.2138560104370119,-0.0707681846618655,0.256820983886719,0.2101114654541014,0.1231026721908648,0.3231849237015008,0.4307407447778699,0.1663376045227051,-0.0235482025146485,1.6040911102294926,0.0056165027883765,0.3144313336139076,-0.222358236996314,-0.5094726943969725,0.6433853530883789,-0.2538708877563476,0.8133822631835939,0.568733558654785,1.1374990701675416,0.5388609313964843,0.6805727410316468,0.1189716416395597,0.1685896287457938,0.1928634599982363,0.09692551323248,0.1547831678703171,0.106184299903067,0.0976259838209748,0.1432218399176603,0.1140993757165128,0.0924976131435907,0.143509172585459,0.1083132582861089,0.153927524741773,0.131612870704432,0.1539100563365778,0.2137405303508679,0.1150147596670463,0.0845846652955515,0.1815540901851246,0.3044366287846275,0.1813302379773095,0.1512102872004194,0.1372754813898773,0.1761989292938029,0.1150029918282341,0.1828077137470245,0.1294650089610581,-0.4987838274926406,8.34077801324432
6724,140307001102263,-0.012658166885376,0.4215672492980964,0.1018552589416508,-0.0250907516479488,-0.0206590652465816,0.1350134277343748,0.0577347564697268,0.0430900382995602,0.0837619972229006,0.2259000205993651,0.1081720190412407,0.1563711627595919,0.5180752372741697,0.1051832389831544,0.0143059921264647,0.1916277342279751,0.1085959585592121,-0.0965695527612775,0.0726305933482532,-0.679590549468994,0.5001686354318902,0.0644241142272949,0.2786833000183106,-0.0528671884536744,0.3720201301574708,0.2916184806823729,0.0558822381496429,0.1126939351077931,0.160512524639527,0.1796681667787847,0.0863532710488416,0.1339680654486815,0.0983597499370488,0.0884183352750082,0.1302044853613673,0.1056462491571386,0.0841038359844337,0.0791522500498334,0.1063684455637977,0.1788085024478568,0.1191041348060964,0.1350042764493791,0.084603909731133,0.1053075025078278,0.0788602806145341,0.1624716105369182,0.2695348241691312,0.1255864317396615,0.1370742089637205,0.2319340407848358,0.169374816641683,0.1798558996299585,0.2354938685894012,0.1234946631802037,-0.6440064247023449,8.469620229799059
16473,140316005101108,-0.0329548597335815,0.3171298980712898,0.0278725433349613,0.0042876625061039,-0.1604243278503414,0.1076596641540525,0.1565072822570803,0.0244657325744626,-0.106833629608154,0.0198496246337889,0.0905948495739975,0.1796093460750995,0.6599300003051756,0.1471201133728028,-0.1212569046020508,0.0080482844285341,0.0482778131108679,0.0862443434618106,-0.0653304187798612,0.1579820251464845,0.354651870727539,0.0018425750732422,0.4986256313323975,0.1207898712158201,0.6339777755737306,0.399412956237793,0.2097762751579285,0.1137990275998424,0.1619395510016412,0.1819584199314042,0.0881464083274738,0.1374512799488005,0.0997179539087506,0.0899902132289731,0.1324342951353432,0.1071103371663344,0.0855470770361292,0.0889392509456,0.1224967657441039,0.2478379859483445,0.1212490505266846,0.1381962236521496,0.1101654417960856,0.1066094602135149,0.0798644384530801,0.1657369006204819,0.2754537763350652,0.1810484677553177,0.1394963207055316,0.1344557963761992,0.1705889761219738,0.1812798752332043,0.1527337006697043,0.124553225891861,-0.1479341173732927,7.617468059665937
21522,140413005401318,0.1752001762390136,0.513734149932862,0.2552490043640141,0.1141204261779789,0.1181005477905277,0.254358615875244,0.1664312171936037,-0.0278399658203127,0.0915725898742678,0.0562289619445799,0.1951790980031345,0.5390911910435704,0.3813798522949216,0.302844638824463,-0.0398169326782227,0.2160104201318698,0.1849416444310836,0.0901470532147173,-0.2533627867376105,0.1001173591613771,0.4943971061706542,0.1709295082092286,0.6924283456802369,0.3849905586242674,0.9968684673309328,0.4467413091659546,0.255225293636322,0.1293059565806132,0.1817394937802011,0.2155392645213952,0.1164082281677288,0.1947297617609492,0.1196267346102959,0.1142638619689898,0.1665032280943211,0.1287190722027015,0.1073394523436223,0.1423451668602649,0.1488364146294687,0.2029953174842226,0.1539142610231947,0.1892339316254133,0.1259380505010616,0.1396149518413673,0.0940753353501316,0.2157681208557329,0.3687764260862953,0.216598242521286,0.176471333973942,0.1426483036059105,0.1940995901823043,0.1206815588717935,0.1629783994111324,0.1390802724967177,0.3407431567128954,6.913366079712804
